time	V(timing)	V(n005)
6.002292389698892e-03	0.000000e+00	2.998670e+00
6.002355403327489e-03	0.000000e+00	2.998481e+00
6.002469759229214e-03	0.000000e+00	2.998138e+00
6.004070741853365e-03	0.000000e+00	2.993343e+00
6.005900436280964e-03	0.000000e+00	2.987875e+00
6.009559825136164e-03	0.000000e+00	2.976976e+00
6.016878602846562e-03	0.000000e+00	2.955312e+00
6.028597352846562e-03	0.000000e+00	2.920919e+00
6.040316102846562e-03	0.000000e+00	2.886889e+00
6.052034852846561e-03	0.000000e+00	2.853256e+00
6.063753602846561e-03	0.000000e+00	2.820015e+00
6.075472352846560e-03	0.000000e+00	2.787161e+00
6.087191102846560e-03	0.000000e+00	2.754690e+00
6.098909852846559e-03	0.000000e+00	2.722597e+00
6.122347352846559e-03	0.000000e+00	2.659529e+00
6.145784852846558e-03	0.000000e+00	2.597922e+00
6.169222352846557e-03	0.000000e+00	2.537742e+00
6.192659852846556e-03	0.000000e+00	2.478956e+00
6.216097352846555e-03	0.000000e+00	2.421533e+00
6.227816102846555e-03	0.000000e+00	2.393322e+00
6.239534852846554e-03	0.000000e+00	2.365439e+00
6.251253602846554e-03	0.000000e+00	2.337882e+00
6.262972352846554e-03	0.000000e+00	2.310646e+00
6.274691102846553e-03	0.000000e+00	2.283727e+00
6.286409852846553e-03	0.000000e+00	2.257121e+00
6.298128602846552e-03	0.000000e+00	2.230826e+00
6.309847352846552e-03	0.000000e+00	2.204837e+00
6.321566102846551e-03	0.000000e+00	2.179151e+00
6.333284852846551e-03	0.000000e+00	2.153764e+00
6.345003602846551e-03	0.000000e+00	2.128673e+00
6.356722352846550e-03	0.000000e+00	2.103874e+00
6.368441102846550e-03	0.000000e+00	2.079365e+00
6.380159852846549e-03	0.000000e+00	2.055140e+00
6.391878602846549e-03	0.000000e+00	2.031199e+00
6.403597352846548e-03	0.000000e+00	2.007536e+00
6.415316102846548e-03	0.000000e+00	1.984149e+00
6.427034852846548e-03	0.000000e+00	1.961034e+00
6.438753602846547e-03	0.000000e+00	1.938188e+00
6.450472352846547e-03	0.000000e+00	1.915609e+00
6.462191102846546e-03	0.000000e+00	1.893293e+00
6.473909852846546e-03	0.000000e+00	1.871203e+00
6.479516675431203e-03	0.000000e+00	1.860719e+00
6.482654534923956e-03	0.000000e+00	1.854886e+00
6.485156193060373e-03	0.000000e+00	1.850251e+00
6.488035513796214e-03	0.000000e+00	1.844936e+00
6.493794155267896e-03	0.000000e+00	1.834366e+00
6.505311438211259e-03	0.000000e+00	1.813393e+00
6.517030188211258e-03	0.000000e+00	1.792269e+00
6.528748938211258e-03	0.000000e+00	1.771390e+00
6.540467688211257e-03	0.000000e+00	1.750754e+00
6.552186438211257e-03	0.000000e+00	1.730359e+00
6.563905188211257e-03	0.000000e+00	1.710201e+00
6.575623938211256e-03	0.000000e+00	1.690278e+00
6.599061438211255e-03	0.000000e+00	1.651126e+00
6.622498938211254e-03	0.000000e+00	1.612882e+00
6.645936438211254e-03	0.000000e+00	1.575523e+00
6.669373938211253e-03	0.000000e+00	1.539029e+00
6.692811438211252e-03	0.000000e+00	1.503381e+00
6.716248938211251e-03	0.000000e+00	1.468560e+00
6.739686438211250e-03	0.000000e+00	1.434544e+00
6.763123938211249e-03	0.000000e+00	1.401317e+00
6.786561438211249e-03	0.000000e+00	1.368860e+00
6.809998938211248e-03	0.000000e+00	1.337154e+00
6.833436438211247e-03	0.000000e+00	1.306183e+00
6.856873938211246e-03	0.000000e+00	1.275930e+00
6.880311438211245e-03	0.000000e+00	1.246377e+00
6.903748938211244e-03	0.000000e+00	1.217510e+00
6.927186438211243e-03	0.000000e+00	1.189311e+00
6.950623938211243e-03	0.000000e+00	1.161765e+00
6.974061438211242e-03	0.000000e+00	1.134857e+00
6.997498938211241e-03	0.000000e+00	1.108573e+00
7.020936438211240e-03	0.000000e+00	1.082898e+00
7.044373938211239e-03	0.000000e+00	1.057817e+00
7.067811438211238e-03	0.000000e+00	1.033318e+00
7.091248938211238e-03	0.000000e+00	1.009386e+00
7.114686438211237e-03	0.000000e+00	9.860089e-01
7.138123938211236e-03	0.000000e+00	9.631732e-01
7.161561438211235e-03	0.000000e+00	9.408665e-01
7.184998938211234e-03	0.000000e+00	9.190766e-01
7.208436438211233e-03	0.000000e+00	8.977915e-01
7.231873938211232e-03	0.000000e+00	8.769995e-01
7.255311438211232e-03	0.000000e+00	8.566892e-01
7.278748938211231e-03	0.000000e+00	8.368495e-01
7.302186438211230e-03	0.000000e+00	8.174695e-01
7.325623938211229e-03	0.000000e+00	7.985383e-01
7.349061438211228e-03	0.000000e+00	7.800458e-01
7.372498938211227e-03	0.000000e+00	7.619817e-01
7.395936438211227e-03	0.000000e+00	7.443361e-01
7.419373938211226e-03	0.000000e+00	7.270994e-01
7.442811438211225e-03	0.000000e+00	7.102619e-01
7.466248938211224e-03	0.000000e+00	6.938145e-01
